# Athena++ data at time=1.200000e+13  cycle=804121962  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0003  1.15716e+18  9.91565e-19  5.45956e-06  2.43594e+05  7.93075e-03  0.00000e+00
0004  1.17558e+18  6.41286e-19  4.33775e-06  3.11370e+05  1.74215e-02  0.00000e+00
0005  1.19399e+18  4.31072e-19  3.63779e-06  4.31074e+05  2.60041e-02  0.00000e+00
0006  1.21241e+18  2.83179e-19  3.17893e-06  6.30627e+05  3.34734e-02  0.00000e+00
0007  1.23082e+18  1.70276e-19  2.89032e-06  9.60056e+05  4.01730e-02  0.00000e+00
0008  1.24924e+18  1.39930e-19  2.63488e-06  1.18967e+06  4.61857e-02  0.00000e+00
0009  1.26765e+18  1.25873e-19  2.48276e-06  1.25753e+06  5.17674e-02  0.00000e+00
0010  1.28607e+18  1.14905e-19  2.34262e-06  1.33326e+06  5.69943e-02  0.00000e+00
0011  1.30448e+18  1.06792e-19  2.21649e-06  1.39560e+06  6.19065e-02  0.00000e+00
0012  1.32290e+18  9.98068e-20  2.10580e-06  1.44948e+06  6.65447e-02  0.00000e+00
0013  1.34131e+18  9.33614e-20  2.00320e-06  1.50695e+06  7.09317e-02  0.00000e+00
0014  1.35973e+18  8.75135e-20  1.90930e-06  1.56415e+06  7.50887e-02  0.00000e+00
0015  1.37814e+18  8.24346e-20  1.82298e-06  1.61716e+06  7.90338e-02  0.00000e+00
0016  1.39656e+18  7.78874e-20  1.74446e-06  1.66616e+06  8.27865e-02  0.00000e+00
0017  1.41497e+18  7.36956e-20  1.67178e-06  1.71497e+06  8.63614e-02  0.00000e+00
0018  1.43339e+18  6.98516e-20  1.60473e-06  1.76261e+06  8.97739e-02  0.00000e+00
0019  1.45180e+18  6.67281e-20  1.54165e-06  1.80138e+06  9.30317e-02  0.00000e+00
0020  1.47022e+18  6.35916e-20  1.48572e-06  1.83968e+06  9.61544e-02  0.00000e+00
0021  1.48863e+18  6.04282e-20  1.43088e-06  1.88849e+06  9.91465e-02  0.00000e+00
0022  1.50705e+18  5.78120e-20  1.37948e-06  1.92879e+06  1.02014e-01  0.00000e+00
0023  1.52546e+18  5.53940e-20  1.33367e-06  1.96277e+06  1.04771e-01  0.00000e+00
0024  1.54388e+18  5.30245e-20  1.28950e-06  2.00186e+06  1.07423e-01  0.00000e+00
0025  1.56229e+18  5.07857e-20  1.24795e-06  2.04132e+06  1.09978e-01  0.00000e+00
0026  1.58071e+18  4.86844e-20  1.20901e-06  2.08011e+06  1.12440e-01  0.00000e+00
0027  1.59912e+18  4.67009e-20  1.17240e-06  2.11878e+06  1.14816e-01  0.00000e+00
0028  1.61754e+18  4.48176e-20  1.13789e-06  2.15780e+06  1.17112e-01  0.00000e+00
0029  1.63595e+18  4.30203e-20  1.10530e-06  2.19756e+06  1.19333e-01  0.00000e+00
0030  1.65437e+18  4.12976e-20  1.07453e-06  2.23831e+06  1.21482e-01  0.00000e+00
0031  1.67278e+18  3.96614e-20  1.04551e-06  2.27920e+06  1.23565e-01  0.00000e+00
0032  1.69120e+18  3.82032e-20  1.01821e-06  2.31567e+06  1.25586e-01  0.00000e+00
0033  1.70961e+18  3.69267e-20  9.93096e-07  2.34445e+06  1.27551e-01  0.00000e+00
0034  1.72803e+18  3.57835e-20  9.69619e-07  2.36822e+06  1.29464e-01  0.00000e+00
0035  1.74644e+18  3.46918e-20  9.47551e-07  2.39105e+06  1.31331e-01  0.00000e+00
0036  1.76486e+18  3.36109e-20  9.26263e-07  2.41657e+06  1.33152e-01  0.00000e+00
0037  1.78328e+18  3.25460e-20  9.05789e-07  2.44437e+06  1.34930e-01  0.00000e+00
0038  1.80169e+18  3.15070e-20  8.86182e-07  2.47368e+06  1.36668e-01  0.00000e+00
0039  1.82011e+18  3.04990e-20  8.67452e-07  2.50404e+06  1.38366e-01  0.00000e+00
0040  1.83852e+18  2.95301e-20  8.49612e-07  2.53492e+06  1.40027e-01  0.00000e+00
0041  1.85694e+18  2.86866e-20  8.32728e-07  2.56247e+06  1.41653e-01  0.00000e+00
0042  1.87535e+18  2.79046e-20  8.16505e-07  2.57532e+06  1.43265e-01  0.00000e+00
0043  1.89377e+18  2.64903e-20  8.03928e-07  2.59909e+06  1.44887e-01  0.00000e+00
0044  1.91218e+18  2.53092e-20  7.92554e-07  2.67271e+06  1.46411e-01  0.00000e+00
0045  1.93060e+18  2.55285e-20  7.73565e-07  2.73855e+06  1.47756e-01  0.00000e+00
0046  1.94901e+18  2.54223e-20  7.57354e-07  2.73183e+06  1.49086e-01  0.00000e+00
0047  1.96743e+18  2.58013e-20  7.43697e-07  2.61594e+06  1.50656e-01  0.00000e+00
0050  1.98584e+18  2.84586e-20  7.46393e-07  2.29182e+06  1.52561e-01  0.00000e+00
0051  2.00426e+18  3.11594e-20  7.62037e-07  1.95100e+06  1.54349e-01  0.00000e+00
0052  2.02267e+18  3.09900e-20  7.52510e-07  1.91284e+06  1.55695e-01  0.00000e+00
0053  2.04109e+18  3.05947e-20  7.40816e-07  1.91649e+06  1.56950e-01  0.00000e+00
0054  2.05951e+18  2.99900e-20  7.26861e-07  1.93858e+06  1.58429e-01  0.00000e+00
0055  2.07792e+18  2.93865e-20  7.13123e-07  1.97503e+06  1.60077e-01  0.00000e+00
0056  2.09634e+18  2.87828e-20  6.99642e-07  2.01366e+06  1.61589e-01  0.00000e+00
0057  2.11475e+18  2.85730e-20  6.90914e-07  2.04102e+06  1.63141e-01  0.00000e+00
0058  2.13317e+18  2.79133e-20  6.76892e-07  2.06879e+06  1.65766e-01  0.00000e+00
0059  2.15158e+18  2.02331e-20  6.28271e-07  2.06327e+06  1.71095e-01  0.00000e+00
0060  2.17000e+18  8.39945e-21  6.82197e-07  2.39644e+06  1.80944e-01  0.00000e+00
0061  2.18841e+18  4.75000e-21  6.38623e-07  3.38274e+06  1.95210e-01  0.00000e+00
0062  2.20683e+18  3.52781e-21  6.39739e-07  3.77331e+06  2.13098e-01  0.00000e+00
0063  2.22524e+18  2.74837e-21  6.39423e-07  4.08032e+06  2.34318e-01  0.00000e+00
0064  2.24366e+18  2.22437e-21  6.35597e-07  4.45380e+06  2.58158e-01  0.00000e+00
0065  2.26207e+18  2.01827e-21  6.32824e-07  4.75012e+06  2.81861e-01  0.00000e+00
0066  2.28049e+18  2.00491e-21  6.32601e-07  4.94981e+06  2.96030e-01  0.00000e+00
0067  2.29891e+18  2.02446e-21  6.32997e-07  5.08973e+06  2.97485e-01  0.00000e+00
0068  2.31732e+18  2.09368e-21  6.30998e-07  5.24425e+06  2.95820e-01  0.00000e+00
0069  2.33574e+18  2.33931e-21  6.21465e-07  5.50642e+06  2.87748e-01  0.00000e+00
0070  2.35415e+18  3.52863e-21  6.12517e-07  5.85728e+06  2.59862e-01  0.00000e+00
0071  2.37257e+18  1.10922e-20  5.82827e-07  5.72802e+06  1.96926e-01  0.00000e+00
0072  2.39098e+18  2.49353e-20  5.76493e-07  4.77250e+06  1.65551e-01  0.00000e+00
0073  2.40940e+18  2.55670e-20  5.78541e-07  4.45785e+06  1.61858e-01  0.00000e+00
0074  2.42781e+18  2.48763e-20  5.65939e-07  4.43095e+06  1.61923e-01  0.00000e+00
0075  2.44623e+18  2.39899e-20  5.51074e-07  4.41007e+06  1.62521e-01  0.00000e+00
0076  2.46464e+18  2.32550e-20  5.37271e-07  4.38918e+06  1.63929e-01  0.00000e+00
0077  2.48306e+18  2.25428e-20  5.23815e-07  4.35774e+06  1.65928e-01  0.00000e+00
0078  2.50147e+18  2.18001e-20  5.11362e-07  4.32830e+06  1.68034e-01  0.00000e+00
0079  2.51989e+18  2.11468e-20  5.00224e-07  4.30396e+06  1.69971e-01  0.00000e+00
0080  2.53831e+18  2.05839e-20  4.88892e-07  4.28038e+06  1.71754e-01  0.00000e+00
0081  2.55672e+18  2.00487e-20  4.78841e-07  4.25722e+06  1.73472e-01  0.00000e+00
0082  2.57514e+18  1.94744e-20  4.68516e-07  4.22572e+06  1.75141e-01  0.00000e+00
0083  2.59355e+18  1.86429e-20  4.55549e-07  4.14593e+06  1.76683e-01  0.00000e+00
0084  2.61197e+18  1.71518e-20  4.36993e-07  3.95022e+06  1.77980e-01  0.00000e+00
0085  2.63038e+18  1.52068e-20  4.18804e-07  3.68295e+06  1.78939e-01  0.00000e+00
0086  2.64880e+18  1.41209e-20  4.09601e-07  3.54999e+06  1.79592e-01  0.00000e+00
0087  2.66721e+18  1.38988e-20  4.03608e-07  3.53787e+06  1.80101e-01  0.00000e+00
0088  2.68563e+18  1.38599e-20  3.98181e-07  3.54128e+06  1.80594e-01  0.00000e+00
0089  2.70404e+18  1.38347e-20  3.93039e-07  3.54598e+06  1.81111e-01  0.00000e+00
0090  2.72246e+18  1.37803e-20  3.88039e-07  3.55111e+06  1.81649e-01  0.00000e+00
0091  2.74088e+18  1.36909e-20  3.83086e-07  3.55861e+06  1.82183e-01  0.00000e+00
0092  2.75929e+18  1.36054e-20  3.78363e-07  3.56974e+06  1.82700e-01  0.00000e+00
0093  2.77771e+18  1.33471e-20  3.73144e-07  3.55245e+06  1.83340e-01  0.00000e+00
0094  2.79612e+18  1.11003e-20  3.67828e-07  3.65711e+06  1.84432e-01  0.00000e+00
0095  2.81454e+18  6.49262e-21  3.68322e-07  4.48574e+06  1.86068e-01  0.00000e+00
0096  2.83295e+18  3.89762e-21  3.30170e-07  6.22989e+06  1.88042e-01  0.00000e+00
0097  2.85137e+18  2.95091e-21  3.13946e-07  7.21226e+06  1.90190e-01  0.00000e+00
0098  2.86978e+18  2.49383e-21  3.03393e-07  7.88921e+06  1.92410e-01  0.00000e+00
0099  2.88820e+18  2.21584e-21  2.95331e-07  8.42722e+06  1.94649e-01  0.00000e+00
0100  2.90661e+18  2.01904e-21  2.88555e-07  8.89230e+06  1.96890e-01  0.00000e+00
0101  2.92503e+18  1.86680e-21  2.82595e-07  9.31092e+06  1.99124e-01  0.00000e+00
0102  2.94345e+18  1.74389e-21  2.77260e-07  9.69101e+06  2.01350e-01  0.00000e+00
0103  2.96186e+18  1.64033e-21  2.72436e-07  1.00419e+07  2.03568e-01  0.00000e+00
0104  2.98028e+18  1.55035e-21  2.67800e-07  1.03748e+07  2.05775e-01  0.00000e+00
0105  2.99869e+18  1.47147e-21  2.63417e-07  1.06856e+07  2.07972e-01  0.00000e+00
0106  3.01711e+18  1.40141e-21  2.59238e-07  1.09772e+07  2.10158e-01  0.00000e+00
0107  3.03552e+18  1.33840e-21  2.55241e-07  1.12541e+07  2.12334e-01  0.00000e+00
0108  3.05394e+18  1.28136e-21  2.51421e-07  1.15197e+07  2.14497e-01  0.00000e+00
0109  3.07235e+18  1.22960e-21  2.47808e-07  1.17754e+07  2.16649e-01  0.00000e+00
0110  3.09077e+18  1.18250e-21  2.44411e-07  1.20224e+07  2.18790e-01  0.00000e+00
0111  3.10918e+18  1.13956e-21  2.41215e-07  1.22612e+07  2.20918e-01  0.00000e+00
